file,row_index,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
6.data,4,アグニモン,agnimon,Agnimon,Agunimon,・Pyro Punch・Salamander Break,Wizard,8,6,1,25,5,3,16,0
6.data,5,メラモン,meramon,Meramon,Meramon,・Burning Fist,Fire,3,2,3,15,4,2,93,93
6.data,6,スターモン,starmon,Starmon,Starmon,・Meteor Shower,Mutant,3,2,3,20,4,3,142,142
6.data,7,グロットモン,grottemon,Grottemon,Grumblemon,・Snake Eye Break・Jack in the Box,Demon,8,6,0,20,5,2,35,6
6.data,8,アルダモン,aldamon,Aldamon,Aldamon,・Brahmashira・Atomic Inferno,Wizard,8,6,1,35,9,4,4,17
6.data,9,ヴリトラモン,vritramon,Vritramon,BurningGreymon,・Corona Blaster・Flame Storm,Dark Dragon,8,6,2,40,8,5,4,0
6.data,10,スーパースターモン,superstarmon,Superstarmon,SuperStarmon,・Haley Storm,Mutant,4,2,0,30,7,4,10,2
6.data,11,ギガスモン,gigasmon,Gigasmon,Gigasmon,・Earthquake・Hurricane Bomber,Mineral,8,6,2,35,9,4,21,4
6.data,12,ダークスーパースターモン,darksuperstarmon,Darksuperstarmon,DarkSuperStarmon,・Dark Explosion・Schwarz Nebel・Dark Hole,Mutant,4,1,3,30,7,4,11,16
6.data,13,カイゼルグレイモン,kaisergreymon,Kaisergreymon,EmperorGreymon,・Firedrake Strike・Pyro Dragons,Dragon Warrior,8,6,1,50,10,8,14,17
6.data,14,エンシェントグレイモン,ancientgreymon,Ancientgreymon,AncientGreymon,・Gaia Tornado・Omega Burst,Ancient Dragon,5,3,2,50,14,7,33,17
6.data,15,エンシェントボルケーモン,ancientvolcamon,Ancientvolcamon,AncientVolcanomon,・Atomic Bomber・Supernova,Ancient Mineral,5,1,0,55,18,7,21,6
6.data,16,スサノオモン,susanoomon,Susanoomon,Susanomon,・Ama no Habakiri・Yakusa no Ikazuchi,Deity,5,3,0,65,12,12,12,18
7.data,0,チコモン,chicomon,Chicomon,Chibomon,・Acid Bubbles,Slime,0,0,2,65535,65535,65535,65535,65535
7.data,1,チビモン,chibimon,Chibimon,DemiVeemon,・Hop Attack,Baby Dragon,1,0,2,65535,65535,65535,65616,65616
7.data,2,ブイモン,v-mon,Veemon,V-Mon,・Boom Boom Punch・Veemon Headbutt,Mini Dragon,2,4,1,10,3,2,87,87
7.data,3,ブイドラモン,v-dramon,V-Dramon,Veedramon,・V-Nova Blast,Mythical Dragon,3,3,0,25,5,3,90,90
7.data,4,エクスブイモン,xv-mon,Xv-Mon,ExVeemon,・Strong Crunch・Vee Laser,Mythical Dragon,3,4,1,20,4,3,137,137
7.data,5,フレイドラモン,fladramon,Fladramon,Flamedramon,・Flaming Fist・Fire Rocket,Dragon Man,7,4,2,20,5,2,108,108
7.data,6,ライドラモン,lighdramon,Lighdramon,Lighdramon,・Lightning Blade・Blue Thunder,Beast,7,4,2,15,4,2,92,92
7.data,7,エアロブイドラモン,earov-dramon,Earov-Dramon,AeroVeedramon,・V-Wing Blade・Dragon Impulse,Holy Dragon,4,3,0,35,12,4,33,8
7.data,8,パイルドラモン,paildramon,Paildramon,Paildramon,・Sting Strike・Death Parade Blaster,Dragon Man,4,4,2,30,10,3,139,139
7.data,9,サジタリモン,sagittarimon,Sagittarimon,Sagittarimon,・Judgment Arrow,Mythical Beast,7,4,3,35,10,3,14,4
7.data,10,ディノビーモン,dinobeemon,Dinobeemon,Dinobeemon,・Hell Masquerade,Mutant,4,4,4,30,9,4,25,18
7.data,11,ゴールドブイドラモン,goldv-dramon,Goldv-Dramon,GoldVeedramon,・V-Nova Blast,Mythical Dragon,7,3,0,35,10,3,10,4
7.data,12,デジタマモン,digitamamon,Digitamamon,Digitamamon,・Enigma・Nightmare Syndrome,Perfect,4,2,4,25,9,4,86,86
7.data,13,アルフォースブイドラモン,ulforcevdramon,Ulforcevdramon,UlforceVeedramon,・The Ray of Victory,Holy Knight,5,3,1,50,14,7,5,8
7.data,14,インペリアルドラモン：ドラゴンモード,imperialdramondragonmode,Imperialdramon:Dragonmode,Imperialdramon: Dragon Mode,・Mega Death,Ancient Dragon,5,4,3,45,16,6,129,129
7.data,15,マグナモン,magnamon,Magnamon,Magnamon,・Plasma Shot・Shining Gold Solar Storm・Magna Explosion,Holy Knight,7,4,2,50,12,5,85,85
7.data,16,インペリアルドラモン：ファイターモード,imperialdramonfightermode,Imperialdramon:Fightermode,Imperialdramon: Fighter Mode,・Positron Laser・Giga Death,Ancient Dragon Man,5,4,0,60,14,8,86,86
8.data,0,モクモン,mokumon,Mokumon,Mokumon,・Smoke,Smoke,0,0,2,65535,65535,65535,65535,65535
8.data,1,プチメラモン,petimeramon,Petimeramon,DemiMeramon,・Small Flame Shot,Fire,1,0,2,65535,65535,65535,65535,65535
8.data,2,ヴォーボモン,vorvomon,Vorvomon,Vorvomon,・Petit Flame,Rock Dragon,2,1,2,10,3,2,0,0
8.data,3,バードラモン,birdramon,Birdramon,Birdramon,・Meteor Wing,Giant Bird,3,3,1,25,5,3,108,108
8.data,4,メラモン,meramon,Meramon,Meramon,・Burning Fist,Fire,3,2,3,15,4,2,93,93
8.data,5,ティラノモン,tyranomon,Tyranomon,Tyrannomon,・Fire Breath,Dinosaur,3,2,0,20,5,2,107,107
8.data,6,ラヴォーボモン,lavorvomon,Lavorvomon,Lavorvomon,・Great Flame・Earth Stomp,Rock Dragon,3,1,2,20,4,3,34,0
8.data,7,マスターティラノモン,mastertyranomon,Mastertyranomon,MasterTyrannomon,・Master Fire,Dinosaur,4,3,0,35,12,4,4,0
8.data,8,フレアモン,flaremon,Flaremon,Flaremon,・Crimson Wave of the Beast King・Crimson Lion Dance・Purifying Howl,Beast Man,4,3,1,30,10,3,16,2
8.data,9,デスメラモン,deathmeramon,Deathmeramon,SkullMeramon,・Heavy Metal Fire・Heat Chain,Fire,4,2,3,35,10,3,84,84
8.data,10,ボルケーモン,volcamon,Volcamon,Volcanomon,・Big Bang Voice・Big Bang Tackle,Android,4,2,1,30,9,4,38,4
8.data,11,ラヴォガリータモン,lavogaritamon,Lavogaritamon,Lavogaritamon,・Melding Blaze・Wild Blast,Rock Dragon,4,1,2,35,10,3,34,0
8.data,12,グラウンドラモン,groundramon,Groundramon,Groundramon,・Scrapless Claw・Megaton Hammer Crush・Giga Crack,Earth Dragon,4,1,1,30,9,4,24,6
8.data,13,マルスモン,marsmon,Marsmon,Marsmon,・Corona Sanctions,Deity,5,3,1,50,14,7,16,0
8.data,14,キャノンドラモン,cannondramon,Cannondramon,Cannondramon,・Dyna Cannon・Grenade Storm,Android,5,2,3,45,16,6,13,2
8.data,15,ヴォルケニックドラモン,volcanicdramon,Volcanicdramon,Volcanicdramon,・Volcanic Flare・Glide Blaze,Earth Dragon,5,1,2,55,14,8,4,17
8.data,16,エンシェントボルケーモン,ancientvolcamon,Ancientvolcamon,AncientVolcanomon,・Atomic Bomber・Supernova,Ancient Mineral,5,1,0,55,18,7,21,6
9.data,0,ユキミボタモン,yukimibotamon,Yukimibotamon,YukimiBotamon,・Diamond Dust,Slime,0,0,2,65535,65535,65535,134,134
9.data,1,ヒヤリモン,hiyarimon,Hiyarimon,Hiyarimon,・Diamond Dust,Lesser,1,0,2,65535,65535,65535,65535,65535
9.data,2,ブルコモン,bulucomon,Bulucomon,Bulucomon,・Baby Hail・Ice-Smash,Mini Dragon,2,2,2,10,3,2,0,0
9.data,3,ユキダルモン,yukidarumon,Yukidarumon,Frigimon,・Sub-zero Ice Punch,Ice-Snow,3,3,1,25,5,3,124,124
9.data,4,ペイルドラモン,paledramon,Paledramon,Paledramon,・Ice Age・Meteor Hail,Dragon,3,2,3,15,4,2,16,14
9.data,5,ヒョーガモン,hyougamon,Hyougamon,Hyogamon,・Snow Punch,Ice-Snow,3,1,0,20,5,2,4,0
9.data,6,ムースモン,moosemon,Moosemon,Moosemon,・Horn Blade,Ancient Beast,7,4,2,20,4,3,34,0
9.data,7,マンモン,mammon,Mammon,Mammothmon,・Tusk Strikes・Tundra Breath,Ancient Beast,4,3,0,35,12,4,110,110
9.data,8,パンジャモン,panjyamon,Panjyamon,IceLeomon,・Fist of Ice,Beast Man,4,3,1,30,10,3,16,2
9.data,9,クリスペイルドラモン,cryspaledramon,Cryspaledramon,CrysPaledramon,・Frozen Claw・Callous Dimension,Dragon Man,4,2,3,35,10,3,17,1
9.data,10,クレシェモン,crescemon,Crescemon,Crescemon,・Lunatic Dance・Ice Archery・Dark Archery,Wizard,4,2,1,30,9,4,38,4
9.data,11,フロゾモン,frozomon,Frozomon,Frozomon,・Removal Blow・Defrost Blade・Glaciate Missile,Machine,4,1,2,35,10,3,34,0
9.data,12,ダイペンモン,daipenmon,Daipenmon,DaiPenmon,・Blue Hawaii Death・Strawberry Death,Android,8,6,1,30,9,4,24,6
9.data,13,スカルマンモン,skullmammon,Skullmammon,SkullMammothmon,・Spiral Bone,Undead,5,3,1,50,14,7,16,0
9.data,14,ヘクセブラウモン,hexeblaumon,Hexeblaumon,Hexeblaumon,・Summon Frost・Hecto Edge Blizzard・Absolute Blast,Magic Knight,5,2,3,45,16,6,13,2
9.data,15,フロスベルグモン,frosvelgrmon,Frosvelgrmon,FrosVelgrmon,・Innocence Blizzard・Freezing Ray・Ruin Reverb,Giant Bird,5,1,2,55,14,8,4,17
9.data,16,エンシェントメガテリウモン,ancientmegatheriumon,Ancientmegatheriumon,AncientMegatheriummon,・Freezing Blizzard・Great Snowplow,Ancient Beast,5,2,0,55,18,7,21,6
10.data,0,ユラモン,yuramon,Yuramon,Yuramon,・Adhesive Bubble Blow,Seed,0,0,2,65535,65535,65535,65535,65535
10.data,1,タネモン,tanemon,Tanemon,Tanemon,・Adhesive Bubble Blow,Bulb,1,0,2,65535,65535,65535,65616,65616
10.data,2,ティンカーモン,tinkermon,Tinkermon,Tinkermon,・Speed Nightmare・Nightmare Pandemic・Fairy Powder・Petermon Syndrome,Pixie,2,1,2,10,3,2,14,4
10.data,3,ポームモン,pomumon,Pomumon,Pomumon,・Rapid Seed・Fruit Rush,Vegetation,2,2,3,10,3,2,23,4
10.data,4,フェアリモン,fairimon,Fairimon,Kazemon,・Tornado Gamba・Roseo Temporale,Pixie,8,6,2,25,5,3,33,18
10.data,5,コカトリモン,cockatrimon,Cockatrimon,Kokatorimon,・Petra Fire,Giant Bird,3,2,1,20,5,2,107,107
10.data,6,アルボルモン,arbormon,Arbormon,Arbormon,・Machine Gun Dance・Blockade Seed,Android,8,6,3,20,4,3,25,18
10.data,7,ザッソーモン,zassoumon,Zassoumon,Weedmon,・Squeeze Vine,Vegetation,3,1,4,15,4,2,25,15
10.data,8,ジェットシルフィーモン,jetsilphymon,Jetsilphymon,JetSilphymon,・Jet Binter・Ultra Turbulence,Android,8,6,2,40,8,5,18,12
10.data,9,シューツモン,shutumon,Shutumon,Zephyrmon,・Gilgamesh Slicer・Wind of Pain,Bird Man,8,6,2,35,9,4,24,18
10.data,10,ペタルドラモン,petaldramon,Petaldramon,Petaldramon,・Leaf Cyclone・Thousand Spikes,Vegetation,8,6,3,35,9,4,25,4
10.data,11,ピーコックモン,peacockmon,Peacockmon,Peacockmon,・Rainbow Shower,Machine,7,4,0,30,7,4,10,2
10.data,12,ザミエールモン,zamielmon,Zamielmon,Zamielmon,・Snipe Headshot・Bow Cutter・Foot Shot・Arrow Lance・Turbulence Arrow・The World Shot,Wizard,5,2,1,30,7,4,14,4
10.data,13,エンシェントイリスモン,ancientirismon,Ancientirismon,AncientKazemon,・Storm Gazer・Rainbow Symphony,Ancient Bird Man,5,3,2,50,10,7,14,12
10.data,14,ロトスモン,lotusmon,Lotusmon,Lotosmon,・Serpent Cure・Serpent Ruin・Seven's Fantasia,Pixie,5,2,1,45,12,7,10,3
10.data,15,エンシェントトロイアモン,ancienttroiamon,Ancienttroiamon,AncientTroymon,・Epeius Gimmick・Surprise Cannon,Ancient Vegetation,5,2,3,50,16,6,23,2
10.data,16,ロードナイトモン,lordknightmon,Lordknightmon,LordKnightmon,・Spiral Masquerade・Fist of Athena,Holy Knight,5,1,0,50,12,8,12,4
11.data,0,ズルモン,zurumon,Zurumon,Zurumon,・Poison Bubbles,Slime,0,0,2,65535,65535,65535,65535,65535
11.data,1,パグモン,pagumon,Pagumon,Pagumon,・Poison Bubbles,Lesser,1,0,2,65535,65535,65535,65535,65535
11.data,2,ゴースモン,ghostmon,Ghostmon,Ghostmon,・Little Plasma・Jack Raid,Ghost,2,2,2,10,3,2,2,1
11.data,3,セーバードラモン,saberdramon,Saberdramon,Saberdramon,・Black Saber,Giant Bird,3,3,1,25,5,3,24,4
11.data,4,ウィザーモン,wizarmon,Wizarmon,Wizardmon,・Thunder Cloud,Wizard,3,2,2,20,4,3,92,92
